103.113.104.245 - - [08/Oct/2018:03:19:31 +0000] "GET / HTTP/1.1" 200 202 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7" "-"
91.238.28.86 - - [08/Oct/2018:03:24:46 +0000] "GET / HTTP/1.1" 200 202 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "-"
185.141.104.27 - - [08/Oct/2018:04:07:06 +0000] "GET / HTTP/1.1" 200 202 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "-"
110.167.93.17 - - [08/Oct/2018:04:27:05 +0000] "GET / HTTP/1.1" 200 192 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "-"
110.167.93.17 - - [08/Oct/2018:04:27:06 +0000] "GET / HTTP/1.1" 200 192 "-" "-" "-"
110.167.93.17 - - [08/Oct/2018:04:27:10 +0000] "GET /images/logo.gif HTTP/1.1" 404 3665 "-" "-" "-"
221.13.12.107 - - [08/Oct/2018:04:27:12 +0000] "GET /fdsrwe HTTP/1.1" 404 3665 "-" "-" "-"
221.13.12.107 - - [08/Oct/2018:04:27:13 +0000] "GET /qnfxcjqr HTTP/1.1" 400 173 "-" "-" "-"
221.13.12.107 - - [08/Oct/2018:04:27:14 +0000] "GET /currentsetting.htm HTTP/1.1" 404 3665 "-" "-" "-"
221.13.12.107 - - [08/Oct/2018:04:27:17 +0000] "GET / HTTP/1.1" 200 192 "-" "-" "-"
221.13.12.107 - - [08/Oct/2018:04:27:18 +0000] "GET /winbox.png HTTP/1.1" 404 3665 "-" "-" "-"
221.13.12.107 - - [08/Oct/2018:04:27:20 +0000] "GET /login.html HTTP/1.1" 404 3665 "-" "-" "-"
221.13.12.107 - - [08/Oct/2018:04:27:21 +0000] "GET /device_description.xml HTTP/1.1" 404 3665 "-" "-" "-"
221.13.12.107 - - [08/Oct/2018:04:27:22 +0000] "GET /cgi-bin/user/Config.cgi?.cab&action=get&category=Account.* HTTP/1.1" 404 3665 "-" "-" "-"
221.13.12.107 - - [08/Oct/2018:04:27:23 +0000] "GET /current_config/passwd HTTP/1.1" 404 3665 "-" "-" "-"
10.0.3.78 - - [08/Oct/2018:04:32:32 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:32:42 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:32:50 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:32:52 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:33:00 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:33:02 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:33:10 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:33:12 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:33:20 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:33:22 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:33:30 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:33:32 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:33:40 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:33:42 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:33:50 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:33:52 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:34:00 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:34:02 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:34:04 +0000] "GET /favicon.ico HTTP/1.1" 404 3665 "http://nextgen-lb-1715016792.us-east-1.elb.amazonaws.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36" "97.116.34.161"
10.0.1.149 - - [08/Oct/2018:04:34:09 +0000] "GET / HTTP/1.1" 200 192 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36" "97.116.34.161"
10.0.1.149 - - [08/Oct/2018:04:34:10 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:34:12 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:34:14 +0000] "GET / HTTP/1.1" 200 192 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36" "97.116.34.161"
10.0.1.149 - - [08/Oct/2018:04:34:20 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:34:22 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:34:30 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:34:32 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:34:40 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:34:42 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:34:50 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:34:50 +0000] "GET / HTTP/1.1" 200 192 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36" "97.116.34.161"
10.0.3.78 - - [08/Oct/2018:04:34:52 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:34:55 +0000] "GET / HTTP/1.1" 200 192 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36" "97.116.34.161"
10.0.1.149 - - [08/Oct/2018:04:35:00 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:35:02 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:35:10 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:35:12 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:35:20 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:35:22 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:35:30 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:35:32 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:35:40 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:35:42 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:35:50 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:35:52 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:36:00 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:36:02 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:36:10 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:36:12 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:36:20 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:36:22 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:36:27 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36" "97.116.34.161"
10.0.1.149 - - [08/Oct/2018:04:36:30 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:36:32 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:36:32 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36" "97.116.34.161"
10.0.1.149 - - [08/Oct/2018:04:36:40 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:36:42 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:36:50 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:36:52 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:36:53 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36" "97.116.34.161"
10.0.1.149 - - [08/Oct/2018:04:37:00 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:37:02 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:37:10 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:37:12 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:37:20 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:37:22 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.1.149 - - [08/Oct/2018:04:37:30 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
10.0.3.78 - - [08/Oct/2018:04:37:32 +0000] "GET /index.html HTTP/1.1" 200 192 "-" "ELB-HealthChecker/2.0" "-"
